soc_percent,p_net_w,irradiance_wm2,weather_index,demand_index,centroid,fis_mode
0.0,15.0,850.0,0.85,0.85,0.3147,M0
0.0,20.0,850.0,0.85,0.85,0.3147,M0
0.0,25.0,850.0,0.85,0.85,0.3147,M0
0.0,30.0,850.0,0.85,0.85,0.3147,M0
0.0,35.0,850.0,0.85,0.85,0.3147,M0
0.0,40.0,850.0,0.85,0.85,0.3147,M0
0.0,45.0,850.0,0.85,0.85,0.3147,M0
0.0,50.0,850.0,0.85,0.85,0.3147,M0
0.0,55.0,850.0,0.85,0.85,0.3147,M0
0.0,60.0,850.0,0.85,0.85,0.3147,M0
0.0,65.0,850.0,0.85,0.85,0.3147,M0
0.0,70.0,850.0,0.85,0.85,0.3147,M0
0.0,75.0,850.0,0.85,0.85,0.3147,M0
0.0,80.0,850.0,0.85,0.85,0.3147,M0
0.0,85.0,850.0,0.85,0.85,0.3147,M0
0.0,90.0,850.0,0.85,0.85,0.3147,M0
0.0,95.0,850.0,0.85,0.85,0.3147,M0
0.0,100.0,850.0,0.85,0.85,0.3147,M0
0.0,105.0,850.0,0.85,0.85,0.3147,M0
0.0,110.0,850.0,0.85,0.85,0.3147,M0
0.0,115.0,850.0,0.85,0.85,0.3147,M0
0.0,120.0,850.0,0.85,0.85,0.3147,M0
0.0,125.0,850.0,0.85,0.85,0.3147,M0
0.0,130.0,850.0,0.85,0.85,0.3147,M0
0.0,135.0,850.0,0.85,0.85,0.3147,M0
0.0,140.0,850.0,0.85,0.85,0.3147,M0
0.0,145.0,850.0,0.85,0.85,0.3147,M0
0.0,150.0,850.0,0.85,0.85,0.3147,M0
0.0,155.0,850.0,0.85,0.85,0.3147,M0
0.0,160.0,850.0,0.85,0.85,0.3147,M0
0.0,165.0,850.0,0.85,0.85,0.3147,M0
0.0,170.0,850.0,0.85,0.85,0.3147,M0
0.0,175.0,850.0,0.85,0.85,0.3147,M0
0.0,180.0,850.0,0.85,0.85,0.3147,M0
0.0,185.0,850.0,0.85,0.85,0.3147,M0
0.0,190.0,850.0,0.85,0.85,0.3147,M0
0.0,195.0,850.0,0.85,0.85,0.3147,M0
0.0,200.0,850.0,0.85,0.85,0.3147,M0
0.0,205.0,850.0,0.85,0.85,0.3147,M0
0.0,210.0,850.0,0.85,0.85,0.3147,M0
0.0,215.0,850.0,0.85,0.85,0.3147,M0
0.0,220.0,850.0,0.85,0.85,0.3147,M0
0.0,225.0,850.0,0.85,0.85,0.3147,M0
0.0,230.0,850.0,0.85,0.85,0.3147,M0
0.0,235.0,850.0,0.85,0.85,0.3147,M0
0.0,240.0,850.0,0.85,0.85,0.3147,M0
0.0,245.0,850.0,0.85,0.85,0.3147,M0
0.0,250.0,850.0,0.85,0.85,0.3147,M0
0.0,255.0,850.0,0.85,0.85,0.3147,M0
0.0,260.0,850.0,0.85,0.85,0.3147,M0
0.0,265.0,850.0,0.85,0.85,0.3147,M0
0.0,270.0,850.0,0.85,0.85,0.3147,M0
0.0,275.0,850.0,0.85,0.85,0.3147,M0
0.0,280.0,850.0,0.85,0.85,0.3147,M0
0.0,285.0,850.0,0.85,0.85,0.3147,M0
0.0,290.0,850.0,0.85,0.85,0.3147,M0
0.0,295.0,850.0,0.85,0.85,0.3147,M0
0.0,300.0,850.0,0.85,0.85,0.3147,M0
1.0,-350.0,850.0,0.85,0.85,0.6921,M1
1.0,-345.0,850.0,0.85,0.85,0.6921,M1
1.0,-340.0,850.0,0.85,0.85,0.6921,M1
1.0,-335.0,850.0,0.85,0.85,0.6921,M1
1.0,-330.0,850.0,0.85,0.85,0.6921,M1
1.0,-325.0,850.0,0.85,0.85,0.6921,M1
1.0,-320.0,850.0,0.85,0.85,0.6921,M1
1.0,-315.0,850.0,0.85,0.85,0.6921,M1
1.0,-310.0,850.0,0.85,0.85,0.6921,M1
1.0,-305.0,850.0,0.85,0.85,0.6921,M1
1.0,-300.0,850.0,0.85,0.85,0.6921,M1
1.0,-295.0,850.0,0.85,0.85,0.6921,M1
1.0,-290.0,850.0,0.85,0.85,0.6921,M1
1.0,-285.0,850.0,0.85,0.85,0.6921,M1
1.0,-280.0,850.0,0.85,0.85,0.6921,M1
1.0,-275.0,850.0,0.85,0.85,0.6921,M1
1.0,-270.0,850.0,0.85,0.85,0.6921,M1
1.0,-265.0,850.0,0.85,0.85,0.6921,M1
1.0,-260.0,850.0,0.85,0.85,0.6921,M1
1.0,-255.0,850.0,0.85,0.85,0.6921,M1
1.0,-250.0,850.0,0.85,0.85,0.6921,M1
1.0,-245.0,850.0,0.85,0.85,0.6921,M1
1.0,-240.0,850.0,0.85,0.85,0.6921,M1
1.0,-235.0,850.0,0.85,0.85,0.6921,M1
1.0,-230.0,850.0,0.85,0.85,0.6921,M1
1.0,-225.0,850.0,0.85,0.85,0.6921,M1
1.0,-220.0,850.0,0.85,0.85,0.6921,M1
1.0,-215.0,850.0,0.85,0.85,0.6917,M1
1.0,-210.0,850.0,0.85,0.85,0.6903,M1
1.0,-205.0,850.0,0.85,0.85,0.688,M1
1.0,-200.0,850.0,0.85,0.85,0.6846,M1
1.0,-195.0,850.0,0.85,0.85,0.6803,M1
1.0,-190.0,850.0,0.85,0.85,0.6748,M1
1.0,-185.0,850.0,0.85,0.85,0.668,M1
1.0,-180.0,850.0,0.85,0.85,0.6598,M1
1.0,-175.0,850.0,0.85,0.85,0.6501,M1
1.0,-170.0,850.0,0.85,0.85,0.6385,M1
1.0,-165.0,850.0,0.85,0.85,0.6247,M1
1.0,-160.0,850.0,0.85,0.85,0.6085,M1
1.0,-155.0,850.0,0.85,0.85,0.5892,M1
1.0,-150.0,850.0,0.85,0.85,0.5666,M1
1.0,-145.0,850.0,0.85,0.85,0.54,M1
1.0,-140.0,850.0,0.85,0.85,0.5087,M1
1.0,-135.0,850.0,0.85,0.85,0.4717,M0
1.0,-130.0,850.0,0.85,0.85,0.4281,M0
1.0,-125.0,850.0,0.85,0.85,0.3764,M0
1.0,-120.0,850.0,0.85,0.85,0.3147,M0
1.0,-115.0,850.0,0.85,0.85,0.3147,M0
1.0,-110.0,850.0,0.85,0.85,0.3147,M0
1.0,-105.0,850.0,0.85,0.85,0.3147,M0
1.0,-100.0,850.0,0.85,0.85,0.3147,M0
1.0,-95.0,850.0,0.85,0.85,0.3147,M0
1.0,-90.0,850.0,0.85,0.85,0.3147,M0
1.0,-85.0,850.0,0.85,0.85,0.3147,M0
1.0,-80.0,850.0,0.85,0.85,0.3147,M0
1.0,-75.0,850.0,0.85,0.85,0.3147,M0
1.0,-70.0,850.0,0.85,0.85,0.3147,M0
1.0,-65.0,850.0,0.85,0.85,0.3147,M0
1.0,-60.0,850.0,0.85,0.85,0.3147,M0
1.0,-55.0,850.0,0.85,0.85,0.3147,M0
1.0,-50.0,850.0,0.85,0.85,0.3147,M0
1.0,-45.0,850.0,0.85,0.85,0.3147,M0
1.0,-40.0,850.0,0.85,0.85,0.3147,M0
1.0,-35.0,850.0,0.85,0.85,0.3147,M0
1.0,-30.0,850.0,0.85,0.85,0.3147,M0
1.0,-25.0,850.0,0.85,0.85,0.3147,M0
1.0,-20.0,850.0,0.85,0.85,0.3147,M0
1.0,-15.0,850.0,0.85,0.85,0.3147,M0
1.0,-10.0,850.0,0.85,0.85,0.3147,M0
1.0,-5.0,850.0,0.85,0.85,0.3147,M0
1.0,0.0,850.0,0.85,0.85,0.3147,M0
1.0,5.0,850.0,0.85,0.85,0.3147,M0
1.0,10.0,850.0,0.85,0.85,0.3147,M0
1.0,15.0,850.0,0.85,0.85,0.3147,M0
1.0,20.0,850.0,0.85,0.85,0.3147,M0
1.0,25.0,850.0,0.85,0.85,0.3147,M0
1.0,30.0,850.0,0.85,0.85,0.3147,M0
1.0,35.0,850.0,0.85,0.85,0.3147,M0
1.0,40.0,850.0,0.85,0.85,0.3147,M0
